party_id,standardised_name,ideology_he
1095,"ש""ס","סיעת ש""ס מורכבת ממפלגת ש""ס הפועלת בכנסת החל מהכנסת ה-11 ברציפות. הסיעה היא חלק מהקואליציה. מבחינה אידיאולוגית הסיעה שואפת לייצג את הציבור החרדי ספרדי, ודוגלת בשמרנות דתית וחיזוק מעמדות מוחלשים, בדגש על הציבור המזרחי."
1096,הליכוד ,"סיעת הליכוד מורכבת ממפלגת הליכוד הפועלת בכנסת החל מהכנסת ה-8 ברציפות לאחר התאחדות מפלגת חירות, המפלגה הליברלית הישראלית, הרשימה הממלכתית, המרכז החופשי והתנועה למען ארץ ישראל השלמה. בכנסת ה-25 היא סיעת הקואליציה המרכזית ומפלגת השלטון. הסיעה היא סיעת ימין ציונית."
1097,הציונות הדתית,"סיעת הציונות הדתית מורכבת ממפלגת הציונות הדתית, שבעבר פעלה כאיחוד של מפלגת האיחוד הלאומי ותקומה. הסיעה התמודדה בבחירות לכנסת ה-25 ביחד עם מפלגת עוצמה יהודית ונעם, שלאחר הבחירות התפצלו. הסיעה פעלה החל מהכנסת ה-24, על אף שגלגוליה הקודמים פעלו בכנסות קודמות במסגרת רשימות ימין דתיות ולאומיות שונות. הסיעה היא חלק מהקואליציה. מבחינה אידיאולוגית הסיעה ימנית-ניצית, הפועלת לקידום ארץ ישראל השלמה, שמרנות דתית והתיישבות."
1099,"רע""ם","סיעת רע""ם מורכבת ממפלגת רע""ם, ופועלת בכנסת החל מהכנסת ה-14 ברציפות. הסיעה היא סיעת אופוזיציה. מבחינה אידיאולוגית הסיעה היא סיעה ערבית-איסלאמית פרגמטית הדוגלת בשמרנות חברתית וייצוג החברה הערבית וקידום זכויותיהם."
1100,העבודה,"סיעת העבודה מורכבת ממפלגת העבודה הישראלית וכיום מוכרת כסיעת הדמוקרטים הפועלת בשיתוף מפלגת מר""צ, על אף שנציגיה אינם פועלים בסיעה כיום. סיעת העבודה בגלגוליה השונים פעלה החל מהכנסת השישית ברציפות. הסיעה היא סיעת אופוזיציה. מבחינה אידיאולוגית הסיעה ממוקמת בשמאל הציוני ומקדמת ערכים ליברליים וסוציאל-דמוקרטיים."
1101,יהדות התורה,"סיעת יהדות התורה מורכבת ממפלגות דגל התורה ואגודת ישראל, הפועלת באופן רציף החל מהכנסת ה-13. הסיעה היא חלק מהקואליציה. מבחינה אידיאולוגית הסיעה מייצגת את הציבור החרדי אשכנזי, ושואפת לקדם את מעמד בני הישיבות וקידום הקהילה החרדית."
1102,יש עתיד,סיעת יש עתיד מורכבת ממפלגת יש עתיד. הסיעה פועלת החל מהכנסת ה-19 ברציפות. כיום היא פועלת כסיעת האופוזיציה המרכזית. הסיעה היא סיעה ציונית ליברלית.
1103,"חד""ש-תע""ל","הסיעה מורכבת ממפלגת חד""ש הפועלת בכנסת החל מהכנסת ה-9 ברציפות ומפלגת תע""ל הפועלת החל מהכנסת ה-15 ברציפות. הסיעה היא סיעת אופוזיציה. מבחינה אידיאולוגית הסיעה ממוקמת בשמאל הערבי-יהודי ודוגלת בהתנגדות לכיבוש, שוויון זכויות לחברה הערבית, קידום מדיניות רווחה ובעלת עמדות חילוניות."
1104,ישראל ביתנו,"סיעת ישראל ביתנו מורכבת ממפלגת ישראל ביתנו, הפועלת בכנסת החל מהכנסת ה-14 ברציפות. הסיעה היא סיעת אופוזיציה. הסיעה ימנית-ניצית הדוגלת בהפרדת הדת והמדינה וחיזוק היבטי משילות. הסיעה מייצגת ברמה מסוימת את אוכלוסיית העולים ממדינות בריה""מ לשעבר."
1105,הציונות הדתית,"סיעת הציונות הדתית מורכבת ממפלגת הציונות הדתית, שבעבר פעלה כאיחוד של מפלגת האיחוד הלאומי ותקומה. הסיעה התמודדה בבחירות לכנסת ה-25 ביחד עם מפלגת עוצמה יהודית ונעם, שלאחר הבחירות התפצלו. הסיעה פעלה החל מהכנסת ה-24, על אף שגלגוליה הקודמים פעלו בכנסות קודמות במסגרת רשימות ימין דתיות ולאומיות שונות. הסיעה היא חלק מהקואליציה. מבחינה אידיאולוגית הסיעה ימנית-ניצית, הפועלת לקידום ארץ ישראל השלמה, שמרנות דתית והתיישבות."
